id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.40419,1,1.77828,0.00024682,0.0001,0.000398107,0.0852886,0.05,0.1,0.162823,0.1,0.2,1.16005e-06,4.73921e+06,414227,170875,0.01,0.95,10,10000,0.938,0.139,46,8,0.0646803,0,0.173913
2,10000,1.41893,1,1.77828,0.00023886,0.0001,0.000398107,0.0770854,0.05,0.1,0.255818,0.2,0.3,1.16005e-06,5.35737e+06,255062,193163,0.01,0.95,10,10000,0.938,0.139,52,23,0.0381463,0,0.442308
3,10000,1.4082,1,1.77828,0.000236218,0.0001,0.000398107,0.0817022,0.05,0.1,0.343207,0.3,0.4,1.16005e-06,6.07856e+06,302423,219165,0.01,0.95,10,10000,0.938,0.139,59,22,0.0390037,0,0.372881
4,10000,1.46274,1,1.77828,0.000252913,0.0001,0.000398107,0.0684017,0.05,0.1,0.443564,0.4,0.5,1.16005e-06,3.29684e+06,192705,118869,0.01,0.95,10,10000,0.938,0.139,32,15,0.0472358,0,0.46875
5,10000,1.48118,1,1.77828,0.00026173,0.0001,0.000398107,0.0699474,0.05,0.1,0.543219,0.5,0.6,1.16005e-06,3.09079e+06,140685,111440,0.01,0.95,10,10000,0.938,0.139,30,21,0.0399215,0,0.7
6,10000,1.55699,1,1.77828,0.000285093,0.0001,0.000398107,0.0703727,0.05,0.1,0.632845,0.6,0.7,1.16005e-06,1.9575e+06,128715,70578.7,0.01,0.95,10,10000,0.938,0.139,19,11,0.0551595,0,0.578947
7,10000,1.47249,1,1.77828,0.000255626,0.0001,0.000398107,0.0732742,0.05,0.1,0.751069,0.7,0.8,1.16005e-06,1.5454e+06,95938.1,55720,0.01,0.95,10,10000,0.938,0.139,15,11,0.0551595,0,0.733333
8,10000,1.35375,1,1.77828,0.000222391,0.0001,0.000398107,0.0750713,0.05,0.1,0.845356,0.8,0.9,1.16005e-06,1.03026e+06,65893.1,37146.7,0.01,0.95,10,10000,0.938,0.139,10,9,0.0609811,0,0.9
9,10000,1.41443,1,1.77828,0.000242652,0.0001,0.000398107,0.0712497,0.05,0.1,0.950104,0.9,1,1.16005e-06,824211,68823.1,29717.4,0.01,0.95,10,10000,0.938,0.139,8,6,0.0746863,0,0.75
10,10000,1.42982,1,1.77828,0.000248883,0.0001,0.000398107,0.0723404,0.05,0.1,1.10008,1,1.5,5.80027e-06,267869,17192,9658.14,0.01,0.95,10,10000,0.938,0.139,13,10,0.0578518,0,0.769231
11,10000,1.6924,1,1.77828,0.000355128,0.0001,0.000398107,0.135026,0.1,0.15,0.034648,0,0.1,1.16005e-06,309079,32645.7,11144,0.01,0.95,10,10000,0.938,0.139,3,3,0.105622,0,1
12,10000,1.5156,1,1.77828,0.000280123,0.0001,0.000398107,0.130931,0.1,0.15,0.154908,0.1,0.2,1.16005e-06,824211,92335.9,29717.4,0.01,0.95,10,10000,0.938,0.139,8,4,0.0914717,0,0.5
13,10000,1.40084,1,1.77828,0.000243779,0.0001,0.000398107,0.119966,0.1,0.15,0.254167,0.2,0.3,1.16005e-06,1.64842e+06,104169,59434.7,0.01,0.95,10,10000,0.938,0.139,16,11,0.0551595,0,0.6875
14,10000,1.47202,1,1.77828,0.000259764,0.0001,0.000398107,0.122372,0.1,0.15,0.360103,0.3,0.4,1.16005e-06,1.9575e+06,120931,70578.7,0.01,0.95,10,10000,0.938,0.139,19,12,0.0528112,0,0.631579
15,10000,1.42157,1,1.77828,0.000237991,0.0001,0.000398107,0.120552,0.1,0.15,0.449863,0.4,0.5,1.16005e-06,1.64842e+06,120522,59434.7,0.01,0.95,10,10000,0.938,0.139,16,9,0.0609811,0,0.5625
16,10000,1.38455,1,1.77828,0.00023503,0.0001,0.000398107,0.119239,0.1,0.15,0.551125,0.5,0.6,1.16005e-06,1.64842e+06,85486.5,59434.7,0.01,0.95,10,10000,0.938,0.139,16,14,0.0488937,0,0.875
17,10000,1.36793,1,1.77828,0.000224746,0.0001,0.000398107,0.117684,0.1,0.15,0.671963,0.6,0.7,1.16005e-06,824211,92335.9,29717.4,0.01,0.95,10,10000,0.938,0.139,8,4,0.0914717,0,0.5
18,10000,1.40412,1,1.77828,0.000231537,0.0001,0.000398107,0.122144,0.1,0.15,0.737259,0.7,0.8,1.16005e-06,824211,79071.8,29717.4,0.01,0.95,10,10000,0.938,0.139,8,5,0.0818148,0,0.625
19,10000,1.42111,1,1.77828,0.000232555,0.0001,0.000398107,0.131029,0.1,0.15,0.864483,0.8,0.9,1.16005e-06,721185,78846.8,26002.7,0.01,0.95,10,10000,0.938,0.139,7,4,0.0914717,0,0.571429
20,10000,1.54436,1,1.77828,0.000282875,0.0001,0.000398107,0.137379,0.1,0.15,0.971243,0.9,1,1.16005e-06,412106,48665.3,14858.7,0.01,0.95,10,10000,0.938,0.139,4,3,0.105622,0,0.75
21,10000,1.63524,1,1.77828,0.000306491,0.0001,0.000398107,0.129973,0.1,0.15,1.16558,1,1.5,5.80027e-06,206053,20646.9,7429.34,0.01,0.95,10,10000,0.938,0.139,10,5,0.0818148,0,0.5
22,10000,1.56743,1,1.77828,0.000305835,0.0001,0.000398107,0.187917,0.15,0.2,0.0910361,0,0.1,1.16005e-06,103026,18848,3714.67,0.01,0.95,10,10000,0.938,0.139,1,1,0.182943,0,1
23,10000,1.29924,1,1.77828,0.000202667,0.0001,0.000398107,0.172805,0.15,0.2,0.162728,0.1,0.2,1.16005e-06,206053,-nan,7429.34,0.01,0.95,10,10000,0.938,0.139,2,4,0.0914717,0,2
24,10000,1.47194,1,1.77828,0.000240503,0.0001,0.000398107,0.166191,0.15,0.2,0.26965,0.2,0.3,1.16005e-06,412106,99734.2,14858.7,0.01,0.95,10,10000,0.938,0.139,4,1,0.182943,0,0.25
25,10000,1.39375,1,1.77828,0.000238756,0.0001,0.000398107,0.165681,0.15,0.2,0.367815,0.3,0.4,1.16005e-06,618158,54626.7,22288,0.01,0.95,10,10000,0.938,0.139,6,5,0.0818148,0,0.833333
26,10000,1.45671,1,1.77828,0.000261255,0.0001,0.000398107,0.168417,0.15,0.2,0.458571,0.4,0.5,1.16005e-06,721185,66903.7,26002.7,0.01,0.95,10,10000,0.938,0.139,7,5,0.0818148,0,0.714286
27,10000,1.60297,1,1.77828,0.000332595,0.0001,0.000398107,0.162821,0.15,0.2,0.570851,0.5,0.6,1.16005e-06,206053,46168,7429.34,0.01,0.95,10,10000,0.938,0.139,2,1,0.182943,0,0.5
28,10000,1.47074,1,1.77828,0.000256194,0.0001,0.000398107,0.174451,0.15,0.2,0.666293,0.6,0.7,1.16005e-06,824211,60448.1,29717.4,0.01,0.95,10,10000,0.938,0.139,8,7,0.0691461,0,0.875
29,10000,1.44382,1,1.77828,0.000276754,0.0001,0.000398107,0.167147,0.15,0.2,0.757282,0.7,0.8,1.16005e-06,206053,46168,7429.34,0.01,0.95,10,10000,0.938,0.139,2,1,0.182943,0,0.5
30,10000,1.48663,1,1.77828,0.000273547,0.0001,0.000398107,0.179402,0.15,0.2,0.833451,0.8,0.9,1.16005e-06,309079,46168,11144,0.01,0.95,10,10000,0.938,0.139,3,2,0.129361,0,0.666667
31,10000,1.62411,1,1.77828,0.000306572,0.0001,0.000398107,0.196796,0.15,0.2,0.974563,0.9,1,1.16005e-06,103026,18848,3714.67,0.01,0.95,10,10000,0.938,0.139,1,1,0.182943,0,1
32,10000,1.21847,1,1.77828,0.00018845,0.0001,0.000398107,0.172834,0.15,0.2,1.2619,1,1.5,5.80027e-06,185447,18234.9,6686.4,0.01,0.95,10,10000,0.938,0.139,9,5,0.0818148,0,0.555556
33,10000,1.32443,1,1.77828,0.00024007,0.0001,0.000398107,0.231349,0.2,0.25,0.362341,0.3,0.4,1.16005e-06,309079,-nan,11144,0.01,0.95,10,10000,0.938,0.139,3,4,0.0914717,0,1.33333
34,10000,1.37804,1,1.77828,0.000228529,0.0001,0.000398107,0.22793,0.2,0.25,0.454424,0.4,0.5,1.16005e-06,618158,153122,22288,0.01,0.95,10,10000,0.938,0.139,6,1,0.182943,0,0.166667
35,10000,1.24906,1,1.77828,0.00018151,0.0001,0.000398107,0.225437,0.2,0.25,0.621672,0.6,0.7,1.16005e-06,721185,95488.2,26002.7,0.01,0.95,10,10000,0.938,0.139,7,3,0.105622,0,0.428571
36,10000,1.12059,1,1.77828,0.000145271,0.0001,0.000398107,0.214164,0.2,0.25,0.780939,0.7,0.8,1.16005e-06,618158,79965.3,22288,0.01,0.95,10,10000,0.938,0.139,6,3,0.105622,0,0.5
37,10000,1.43106,1,1.77828,0.000237881,0.0001,0.000398107,0.233703,0.2,0.25,0.826072,0.8,0.9,1.16005e-06,309079,46168,11144,0.01,0.95,10,10000,0.938,0.139,3,2,0.129361,0,0.666667
38,10000,1.68486,1,1.77828,0.000319769,0.0001,0.000398107,0.240537,0.2,0.25,1.26081,1,1.5,5.80027e-06,103026,25287.2,3714.67,0.01,0.95,10,10000,0.938,0.139,5,1,0.182943,0,0.2
39,10000,1.31466,1,1.77828,0.000211213,0.0001,0.000398107,0.26951,0.25,0.3,0.474311,0.4,0.5,1.16005e-06,618158,54626.7,22288,0.01,0.95,10,10000,0.938,0.139,6,5,0.0818148,0,0.833333
