id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.21311,1,1.77828,0.000165064,0.0001,0.000398107,0.0756062,0.05,0.1,0.277719,0.2,0.3,1.16005e-06,309079,72998,11144,0.01,0.95,10,10000,0.938,0.497,3,1,0.182943,0,0.333333
2,10000,1.50464,1,1.77828,0.000256742,0.0001,0.000398107,0.0817954,0.05,0.1,0.316213,0.3,0.4,1.16005e-06,412106,65291.4,14858.7,0.01,0.95,10,10000,0.938,0.497,4,2,0.129361,0,0.5
3,10000,1.29767,1,1.77828,0.000186532,0.0001,0.000398107,0.0687012,0.05,0.1,0.439181,0.4,0.5,1.16005e-06,618158,153122,22288,0.01,0.95,10,10000,0.938,0.497,6,1,0.182943,0,0.166667
4,10000,1.34889,1,1.77828,0.000212913,0.0001,0.000398107,0.0759135,0.05,0.1,0.540735,0.5,0.6,1.16005e-06,618158,79965.3,22288,0.01,0.95,10,10000,0.938,0.497,6,3,0.105622,0,0.5
5,10000,1.66911,1,1.77828,0.000309078,0.0001,0.000398107,0.0662732,0.05,0.1,0.652752,0.6,0.7,1.16005e-06,206053,46168,7429.34,0.01,0.95,10,10000,0.938,0.497,2,1,0.182943,0,0.5
6,10000,1.07841,1,1.77828,0.000139484,0.0001,0.000398107,0.0759319,0.05,0.1,0.772421,0.7,0.8,1.16005e-06,206053,46168,7429.34,0.01,0.95,10,10000,0.938,0.497,2,1,0.182943,0,0.5
7,10000,1.29994,1,1.77828,0.000210797,0.0001,0.000398107,0.0540623,0.05,0.1,0.870858,0.8,0.9,1.16005e-06,103026,18848,3714.67,0.01,0.95,10,10000,0.938,0.497,1,1,0.182943,0,1
8,10000,1.40386,1,1.77828,0.000229078,0.0001,0.000398107,0.0668488,0.05,0.1,1.25268,1,1.5,5.80027e-06,82421.1,7539.2,2971.74,0.01,0.95,10,10000,0.938,0.497,4,4,0.0914717,0,1
9,10000,1.26289,1,1.77828,0.000189987,0.0001,0.000398107,0.143598,0.1,0.15,0.378726,0.3,0.4,1.16005e-06,412106,99734.2,14858.7,0.01,0.95,10,10000,0.938,0.497,4,1,0.182943,0,0.25
10,10000,1.63245,1,1.77828,0.000314091,0.0001,0.000398107,0.139791,0.1,0.15,0.526872,0.5,0.6,1.16005e-06,309079,46168,11144,0.01,0.95,10,10000,0.938,0.497,3,2,0.129361,0,0.666667
11,10000,1.11666,1,1.77828,0.000145904,0.0001,0.000398107,0.124629,0.1,0.15,0.64797,0.6,0.7,1.16005e-06,309079,32645.7,11144,0.01,0.95,10,10000,0.938,0.497,3,3,0.105622,0,1
12,10000,1.42605,1,1.77828,0.000245571,0.0001,0.000398107,0.136422,0.1,0.15,0.741304,0.7,0.8,1.16005e-06,206053,26655.1,7429.34,0.01,0.95,10,10000,0.938,0.497,2,2,0.129361,0,1
13,10000,1.54889,1,1.77828,0.000278705,0.0001,0.000398107,0.105292,0.1,0.15,0.95708,0.9,1,1.16005e-06,103026,18848,3714.67,0.01,0.95,10,10000,0.938,0.497,1,1,0.182943,0,1
14,10000,1.59508,1,1.77828,0.000290027,0.0001,0.000398107,0.114683,0.1,0.15,1.41552,1,1.5,5.80027e-06,41210.6,9233.59,1485.87,0.01,0.95,10,10000,0.938,0.497,2,1,0.182943,0,0.5
15,10000,1.01155,1,1.77828,0.00012804,0.0001,0.000398107,0.172352,0.15,0.2,0.516795,0.5,0.6,1.16005e-06,103026,18848,3714.67,0.01,0.95,10,10000,0.938,0.497,1,1,0.182943,0,1
