id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.27905,1,1.77828,0.000217618,0.0001,0.000398107,0.0859698,0.05,0.1,0.0690547,0,0.1,1.16005e-06,1.31659e+10,4.68329e+07,4.74704e+08,0.01,0.95,10,10000,0.938,0.139,10775,437,0.00254117,0,0.0405568
2,10000,1.25819,1,1.77828,0.000240266,0.0001,0.000398107,0.0821166,0.05,0.1,0.162788,0.1,0.2,1.16005e-06,3.62133e+10,5.20456e+07,1.30569e+09,0.01,0.95,10,10000,0.938,0.139,29637,2612,0.00103941,0,0.0881331
3,10000,1.19597,1,1.77828,0.000266618,0.0001,0.000398107,0.0735009,0.05,0.1,0.257212,0.2,0.3,1.16005e-06,4.22776e+10,2.92048e+07,1.52434e+09,0.01,0.95,10,10000,0.938,0.139,34600,10101,0.000528557,0,0.291936
4,10000,1.18853,1,1.77828,0.000272357,0.0001,0.000398107,0.0717509,0.05,0.1,0.350942,0.3,0.4,1.16005e-06,3.60765e+10,1.90569e+07,1.30076e+09,0.01,0.95,10,10000,0.938,0.139,29525,15066,0.000432788,0,0.510279
5,10000,1.18935,1,1.77828,0.000271673,0.0001,0.000398107,0.071005,0.05,0.1,0.449101,0.4,0.5,1.16005e-06,2.68524e+10,1.35192e+07,9.68176e+08,0.01,0.95,10,10000,0.938,0.139,21976,14779,0.00043697,0,0.672506
6,10000,1.19569,1,1.77828,0.000269692,0.0001,0.000398107,0.0711727,0.05,0.1,0.547342,0.5,0.6,1.16005e-06,1.90493e+10,1.01333e+07,6.86834e+08,0.01,0.95,10,10000,0.938,0.139,15590,12164,0.000481655,0,0.780244
7,10000,1.19957,1,1.77828,0.000268841,0.0001,0.000398107,0.071915,0.05,0.1,0.647679,0.6,0.7,1.16005e-06,1.3056e+10,8.10092e+06,4.70739e+08,0.01,0.95,10,10000,0.938,0.139,10685,8695,0.000569691,0,0.813758
8,10000,1.19882,1,1.77828,0.000265211,0.0001,0.000398107,0.0718757,0.05,0.1,0.746894,0.7,0.8,1.16005e-06,8.88073e+09,6.50298e+06,3.20199e+08,0.01,0.95,10,10000,0.938,0.139,7268,6105,0.000679878,0,0.839983
9,10000,1.20236,1,1.77828,0.000267121,0.0001,0.000398107,0.0720775,0.05,0.1,0.846506,0.8,0.9,1.16005e-06,5.85288e+09,5.22033e+06,2.11029e+08,0.01,0.95,10,10000,0.938,0.139,4790,4076,0.000832064,0,0.850939
10,10000,1.20947,1,1.77828,0.000268686,0.0001,0.000398107,0.0722397,0.05,0.1,0.947371,0.9,1,1.16005e-06,3.87707e+09,4.33346e+06,1.3979e+08,0.01,0.95,10,10000,0.938,0.139,3173,2639,0.00103408,0,0.831705
11,10000,1.20889,1,1.77828,0.000264284,0.0001,0.000398107,0.0728399,0.05,0.1,1.16837,1,1.5,5.80027e-06,1.36681e+09,1.20165e+06,4.92811e+07,0.01,0.95,10,10000,0.938,0.139,5593,4418,0.00079921,0,0.789916
12,10000,1.26553,1,1.77828,0.000244251,0.0001,0.000398107,0.12547,0.1,0.15,0.0670164,0,0.1,1.16005e-06,4.70307e+09,8.98365e+06,1.69572e+08,0.01,0.95,10,10000,0.938,0.139,3849,1288,0.00148019,0,0.334632
13,10000,1.23881,1,1.77828,0.000237296,0.0001,0.000398107,0.12517,0.1,0.15,0.157474,0.1,0.2,1.16005e-06,1.45699e+10,1.37493e+07,5.25324e+08,0.01,0.95,10,10000,0.938,0.139,11924,5007,0.000750732,0,0.419909
