id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,2.23425,1.77828,2.37137,0.000562055,0.000398107,0.000630957,0.0886785,0.05,0.1,1.2669,1,1.5,3.45254e-06,15.7654,42.7378,0.568428,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
2,10000,5.96816,5.62342,7.49894,0.00387857,0.00251189,0.00398107,0.193386,0.15,0.2,1.11496,1,1.5,6.88871e-05,0.790142,2.14197,0.028489,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
3,10000,9.15045,7.49894,10,0.0090283,0.00630957,0.01,0.0981577,0.05,0.1,1.45394,1,1.5,0.00023075,0.235886,0.639455,0.00850498,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
4,10000,9.0377,7.49894,10,0.0151563,0.01,0.0158489,0.062664,0.05,0.1,0.847336,0.8,0.9,7.31423e-05,0.744174,2.01736,0.0268316,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
5,10000,11.0755,10,13.3352,0.0134887,0.01,0.0158489,0.118851,0.1,0.15,1.49758,1,1.5,0.000487684,0.11161,0.302561,0.00402417,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
6,10000,12.9312,10,13.3352,0.0183073,0.0158489,0.0251189,0.0683053,0.05,0.1,0.84096,0.8,0.9,0.000154587,0.352102,0.954504,0.0126952,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
7,10000,10.8735,10,13.3352,0.0159321,0.0158489,0.0251189,0.0581437,0.05,0.1,1.33929,1,1.5,0.000772936,0.0704205,0.190901,0.00253905,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
8,10000,16.3564,13.3352,17.7828,0.03012,0.0251189,0.0398107,0.129137,0.1,0.15,1.12069,1,1.5,0.00163358,0.0333199,0.0903259,0.00120137,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
9,10000,15.0979,13.3352,17.7828,0.0517141,0.0398107,0.0630957,0.0722189,0.05,0.1,1.41878,1,1.5,0.00258905,0.0210234,0.0569916,0.000758008,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
10,10000,20.1189,17.7828,23.7137,0.0437077,0.0398107,0.0630957,0.312753,0.3,0.4,1.40979,1,1.5,0.00690508,0.00788268,0.0213689,0.000284214,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
11,10000,35.6932,31.6228,100,0.18314,0.1,0.251189,0.0734391,0.05,0.1,0.0656985,0,0.1,0.0516894,0.533887,0.0794716,0.0192496,0.01,0.95,10,10000,0.938,0.497,507,401,0.135374,0,0.790927
12,10000,35.7349,31.6228,100,0.18329,0.1,0.251189,0.0716347,0.05,0.1,0.154866,0.1,0.2,0.0516894,1.43739,0.128777,0.0518257,0.01,0.95,10,10000,0.938,0.497,1365,1096,0.0818848,0,0.80293
