id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,2.54294,2.37137,3.16228,0.000797157,0.000630957,0.001,0.0907108,0.05,0.1,1.03192,1,1.5,7.29695e-06,7.45936,20.2214,0.268951,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
2,10000,3.87107,3.16228,4.21697,0.00166185,0.00158489,0.00251189,0.118933,0.1,0.15,1.19929,1,1.5,2.44424e-05,4.45378,8.53734,0.160583,0.01,0.95,10,10000,0.938,0.497,2,2,1.91687,0,1
3,10000,4.25229,4.21697,5.62342,0.0020244,0.00158489,0.00251189,0.0877481,0.05,0.1,0.407033,0.4,0.5,6.51889e-06,8.34966,22.6348,0.301051,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
4,10000,5.02336,4.21697,5.62342,0.00277769,0.00251189,0.00398107,0.0810194,0.05,0.1,0.844221,0.8,0.9,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
5,10000,4.49767,4.21697,5.62342,0.00259206,0.00251189,0.00398107,0.131051,0.1,0.15,1.42108,1,1.5,5.16582e-05,1.05367,2.85636,0.0379905,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
6,10000,5.96816,5.62342,7.49894,0.00387857,0.00251189,0.00398107,0.0509871,0.05,0.1,0.619084,0.6,0.7,1.37774e-05,3.95071,10.7099,0.142445,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
7,10000,9.54623,7.49894,10,0.0113384,0.01,0.0158489,0.0836843,0.05,0.1,1.35829,1,1.5,0.000365711,0.148835,0.403472,0.00536631,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
8,10000,10.4458,10,13.3352,0.0126197,0.01,0.0158489,0.0613214,0.05,0.1,1.35902,1,1.5,0.000487684,0.223221,0.74112,0.00804834,0.01,0.95,10,10000,0.938,0.497,2,1,2.71087,0,0.5
9,10000,12.9312,10,13.3352,0.0183073,0.0158489,0.0251189,0.068484,0.05,0.1,0.813923,0.8,0.9,0.000154587,0.352102,0.954504,0.0126952,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
10,10000,13.857,13.3352,17.7828,0.0204874,0.0158489,0.0251189,0.0655923,0.05,0.1,1.24992,1,1.5,0.00103073,0.105616,0.202452,0.00380803,0.01,0.95,10,10000,0.938,0.497,2,2,1.91687,0,1
11,10000,16.3564,13.3352,17.7828,0.03012,0.0251189,0.0398107,0.0585909,0.05,0.1,0.62494,0.6,0.7,0.000326715,0.166599,0.451629,0.00600683,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
12,10000,25.0731,23.7137,31.6228,0.0872642,0.0630957,0.1,0.0560059,0.05,0.1,0.632976,0.6,0.7,0.00145939,0.0372968,0.101107,0.00134476,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
13,10000,24.7506,23.7137,31.6228,0.0661295,0.0630957,0.1,0.0561767,0.05,0.1,1.47401,1,1.5,0.00729695,0.00745936,0.0202214,0.000268951,0.01,0.95,10,10000,0.938,0.497,1,1,2.71087,0,1
14,10000,35.7152,31.6228,100,0.186313,0.1,0.251189,0.07178,0.05,0.1,0.0667262,0,0.1,0.0516894,0.606546,0.082677,0.0218693,0.01,0.95,10,10000,0.938,0.497,576,469,0.125176,0,0.814236
15,10000,35.7646,31.6228,100,0.185771,0.1,0.251189,0.0718426,0.05,0.1,0.154627,0.1,0.2,0.0516894,1.55743,0.130577,0.056154,0.01,0.95,10,10000,0.938,0.497,1479,1225,0.0774534,0,0.828262
16,10000,35.7492,31.6228,100,0.185171,0.1,0.251189,0.0725822,0.05,0.1,0.252346,0.2,0.3,0.0516894,2.06289,0.154185,0.0743785,0.01,0.95,10,10000,0.938,0.497,1959,1574,0.0683292,0,0.803471
