id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.09796,1,1.77828,0.000136954,0.0001,0.000398107,0.133143,0.1,0.15,0.425044,0.4,0.5,1.16005e-06,46.9207,127.196,1.69175,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
2,10000,1.08856,1,1.77828,0.000141462,0.0001,0.000398107,0.114191,0.1,0.15,0.65161,0.6,0.7,1.16005e-06,46.9207,127.196,1.69175,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
3,10000,2.72343,2.37137,3.16228,0.000871742,0.000630957,0.001,0.132175,0.1,0.15,0.783053,0.7,0.8,1.45939e-06,37.2968,101.107,1.34476,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
4,10000,3.12971,2.37137,3.16228,0.00112152,0.001,0.00158489,0.0912295,0.05,0.1,1.28671,1,1.5,1.15648e-05,4.70657,12.7589,0.169698,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
5,10000,3.40605,3.16228,4.21697,0.00149145,0.001,0.00158489,0.0617623,0.05,0.1,0.462815,0.4,0.5,3.08438e-06,17.6471,47.8391,0.636277,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
6,10000,3.98138,3.16228,4.21697,0.00220903,0.00158489,0.00251189,0.0550105,0.05,0.1,0.721638,0.7,0.8,4.88848e-06,11.1345,30.1841,0.401459,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
7,10000,3.81546,3.16228,4.21697,0.00159166,0.00158489,0.00251189,0.0808086,0.05,0.1,1.23423,1,1.5,2.44424e-05,6.68067,14.7871,0.240875,0.01,0.95,10,10000,0.938,0.139,3,2,1.91687,0,0.666667
8,10000,3.87438,3.16228,4.21697,0.0039625,0.00251189,0.00398107,0.154573,0.15,0.2,0.679759,0.6,0.7,7.74763e-06,7.02544,19.0451,0.253306,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
9,10000,4.53008,4.21697,5.62342,0.00222003,0.00158489,0.00251189,0.0852669,0.05,0.1,1.36146,1,1.5,3.25945e-05,3.33986,6.4021,0.120421,0.01,0.95,10,10000,0.938,0.139,2,2,1.91687,0,1
10,10000,4.4233,4.21697,5.62342,0.00217372,0.00158489,0.00251189,0.111389,0.1,0.15,1.10609,1,1.5,3.25945e-05,1.66993,4.52697,0.0602103,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
11,10000,5.40918,4.21697,5.62342,0.00315369,0.00251189,0.00398107,0.0668458,0.05,0.1,0.769021,0.7,0.8,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
12,10000,5.48023,4.21697,5.62342,0.0037061,0.00251189,0.00398107,0.0858528,0.05,0.1,0.82085,0.8,0.9,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
13,10000,5.27093,4.21697,5.62342,0.00333903,0.00251189,0.00398107,0.0788882,0.05,0.1,0.950277,0.9,1,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
14,10000,5.45057,4.21697,5.62342,0.00356712,0.00251189,0.00398107,0.0821642,0.05,0.1,1.0158,1,1.5,5.16582e-05,2.10734,6.99661,0.075981,0.01,0.95,10,10000,0.938,0.139,2,1,2.71087,0,0.5
15,10000,5.96816,5.62342,7.49894,0.00387857,0.00251189,0.00398107,0.077941,0.05,0.1,0.891421,0.8,0.9,1.37774e-05,3.95071,10.7099,0.142445,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
16,10000,5.67066,5.62342,7.49894,0.00371719,0.00251189,0.00398107,0.061438,0.05,0.1,1.02636,1,1.5,6.88871e-05,0.790142,2.14197,0.028489,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
17,10000,5.96816,5.62342,7.49894,0.00387857,0.00251189,0.00398107,0.142554,0.1,0.15,1.18619,1,1.5,6.88871e-05,0.790142,2.14197,0.028489,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
18,10000,7.10246,5.62342,7.49894,0.00564231,0.00398107,0.00630957,0.0733393,0.05,0.1,0.756709,0.7,0.8,2.18358e-05,2.49272,6.75744,0.0898764,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
19,10000,6.42736,5.62342,7.49894,0.00501328,0.00398107,0.00630957,0.103051,0.1,0.15,1.05208,1,1.5,0.000109179,0,0,0,0.01,0.95,10,10000,0.938,0.139,0,1,2.71087,0,0
20,10000,7.19054,5.62342,7.49894,0.00725228,0.00630957,0.01,0.12028,0.1,0.15,1.4448,1,1.5,0.000173037,0.31456,0.85273,0.0113416,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
21,10000,8.17775,7.49894,10,0.00734438,0.00630957,0.01,0.0545629,0.05,0.1,0.520597,0.5,0.6,4.61499e-05,1.17943,3.19728,0.0425249,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
22,10000,8.17775,7.49894,10,0.00734438,0.00630957,0.01,0.063436,0.05,0.1,0.843948,0.8,0.9,4.61499e-05,1.17943,3.19728,0.0425249,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
23,10000,8.62973,7.49894,10,0.00848544,0.00630957,0.01,0.0573144,0.05,0.1,1.35305,1,1.5,0.00023075,0.943543,1.27891,0.0340199,0.01,0.95,10,10000,0.938,0.139,4,4,1.35543,0,1
24,10000,8.56687,7.49894,10,0.0107361,0.01,0.0158489,0.0707674,0.05,0.1,0.821922,0.8,0.9,7.31423e-05,0.744174,2.01736,0.0268316,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
25,10000,8.56687,7.49894,10,0.0107361,0.01,0.0158489,0.0960973,0.05,0.1,1.49267,1,1.5,0.000365711,0.148835,0.403472,0.00536631,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
26,10000,10.4598,10,13.3352,0.011654,0.01,0.0158489,0.0622029,0.05,0.1,0.457602,0.4,0.5,9.75367e-05,0.558052,1.51281,0.0201208,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
27,10000,10.5565,10,13.3352,0.0122326,0.01,0.0158489,0.0644149,0.05,0.1,0.664842,0.6,0.7,9.75367e-05,0.558052,1.51281,0.0201208,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
28,10000,10.7986,10,13.3352,0.0149146,0.01,0.0158489,0.0691462,0.05,0.1,1.18845,1,1.5,0.000487684,0.11161,0.302561,0.00402417,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
29,10000,13.8478,13.3352,17.7828,0.020191,0.0158489,0.0251189,0.0534565,0.05,0.1,0.421622,0.4,0.5,0.000206146,0.264039,0.715777,0.00952008,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
30,10000,13.8661,13.3352,17.7828,0.0207837,0.0158489,0.0251189,0.0604309,0.05,0.1,0.945799,0.9,1,0.000206146,0.264039,0.715777,0.00952008,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
31,10000,14.2599,13.3352,17.7828,0.0222157,0.0158489,0.0251189,0.0776826,0.05,0.1,1.3725,1,1.5,0.00103073,0.0528079,0.143155,0.00190402,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
