id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.08856,1,1.77828,0.000141462,0.0001,0.000398107,0.0748287,0.05,0.1,0.483685,0.4,0.5,1.16005e-06,46.9207,127.196,1.69175,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
2,10000,1.32204,1,1.77828,0.000235171,0.0001,0.000398107,0.0810134,0.05,0.1,0.918623,0.9,1,1.16005e-06,46.9207,127.196,1.69175,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
3,10000,1.51346,1,1.77828,0.000254854,0.0001,0.000398107,0.126624,0.1,0.15,0.772938,0.7,0.8,1.16005e-06,0,0,0,0.01,0.95,10,10000,0.938,0.139,0,1,2.71087,0,0
4,10000,1.09796,1,1.77828,0.000136954,0.0001,0.000398107,0.17365,0.15,0.2,0.881017,0.8,0.9,1.16005e-06,46.9207,127.196,1.69175,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
5,10000,1.51346,1,1.77828,0.000254854,0.0001,0.000398107,0.169748,0.15,0.2,1.07993,1,1.5,5.80027e-06,9.38414,25.4392,0.33835,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
6,10000,2.72343,2.37137,3.16228,0.000871742,0.000630957,0.001,0.0965612,0.05,0.1,0.210476,0.2,0.3,1.45939e-06,37.2968,101.107,1.34476,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
7,10000,4.17095,3.16228,4.21697,0.00198451,0.00158489,0.00251189,0.0952735,0.05,0.1,1.32199,1,1.5,2.44424e-05,2.22689,6.03681,0.0802917,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
8,10000,5.25768,4.21697,5.62342,0.00296136,0.00251189,0.00398107,0.0646566,0.05,0.1,0.613257,0.6,0.7,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
9,10000,5.27093,4.21697,5.62342,0.00333903,0.00251189,0.00398107,0.0701498,0.05,0.1,0.757174,0.7,0.8,1.03316e-05,5.26834,14.2818,0.189953,0.01,0.95,10,10000,0.938,0.139,1,1,2.71087,0,1
10,10000,5.10663,4.21697,5.62342,0.0029108,0.00251189,0.00398107,0.0757531,0.05,0.1,1.14028,1,1.5,5.16582e-05,6.32201,9.8947,0.227943,0.01,0.95,10,10000,0.938,0.139,6,4,1.35543,0,0.666667
