id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.27576,1,1.77828,0.000200125,0.0001,0.000398107,0.0915391,0.05,0.1,0.368866,0.3,0.4,1.16005e-06,15770,12772.3,568.597,0.01,0.95,10,10000,0.938,0.497,4,2,0.661286,0,0.5
2,10000,1.42539,1,1.77828,0.000232679,0.0001,0.000398107,0.0833901,0.05,0.1,0.419415,0.4,0.5,1.16005e-06,27597.6,23894.7,995.045,0.01,0.95,10,10000,0.938,0.497,7,2,0.661286,0,0.285714
3,10000,1.13813,1,1.77828,0.000152064,0.0001,0.000398107,0.0958442,0.05,0.1,0.566111,0.5,0.6,1.16005e-06,3942.51,3687.04,142.149,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
4,10000,1.35295,1,1.77828,0.000217586,0.0001,0.000398107,0.0906449,0.05,0.1,0.614079,0.6,0.7,1.16005e-06,15770,7374.07,568.597,0.01,0.95,10,10000,0.938,0.497,4,4,0.4676,0,1
5,10000,1.60614,1,1.77828,0.000289299,0.0001,0.000398107,0.0830291,0.05,0.1,1.073,1,1.5,5.80027e-06,3154.01,1474.81,113.719,0.01,0.95,10,10000,0.938,0.497,4,4,0.4676,0,1
6,10000,1.29731,1,1.77828,0.000204183,0.0001,0.000398107,0.121675,0.1,0.15,0.362204,0.3,0.4,1.16005e-06,27597.6,18679.4,995.045,0.01,0.95,10,10000,0.938,0.497,7,3,0.539938,0,0.428571
7,10000,1.53474,1,1.77828,0.000290278,0.0001,0.000398107,0.130305,0.1,0.15,0.485413,0.4,0.5,1.16005e-06,27597.6,13087.7,995.045,0.01,0.95,10,10000,0.938,0.497,7,5,0.418234,0,0.714286
8,10000,1.45394,1,1.77828,0.000264027,0.0001,0.000398107,0.126726,0.1,0.15,0.583808,0.5,0.6,1.16005e-06,23655.1,-nan,852.896,0.01,0.95,10,10000,0.938,0.497,6,7,0.353472,0,1.16667
9,10000,1.46601,1,1.77828,0.000257799,0.0001,0.000398107,0.127279,0.1,0.15,0.66247,0.6,0.7,1.16005e-06,23655.1,20194.7,852.896,0.01,0.95,10,10000,0.938,0.497,6,2,0.661286,0,0.333333
10,10000,1.1626,1,1.77828,0.0001572,0.0001,0.000398107,0.123987,0.1,0.15,0.74721,0.7,0.8,1.16005e-06,19712.6,12593.6,710.747,0.01,0.95,10,10000,0.938,0.497,5,3,0.539938,0,0.6
